"","Season","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG.x","BB%","K%","BB/K","AVG.y","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","Pace","date_acquired","player_id","W","L","ERA","GS","CG","ShO","SV","HLD","BS","IP","TBF","ER","WP","BK","K/9","BB/9","K/BB","HR/9","K-BB%","AVG","WHIP","LOB%","ERA-","FIP-","FIP","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BsR","Off","Def","WAR","G.y","PA.y","HR.y","R.y","RBI.y","SB.y","F-Strike%","SwStr%","W.x","L.x","SV.x","GS.x","IP.x","GB%","HR/FB","ERA.x","xFIP","W.y","L.y","ERA.y","GS.y","SV.y","IP.y"
"1","2006","Indians (AAA)",52,190,211,50,38,11,0,1,26,14,8,0,39,3,6,4,4,5,4,0.263,"3.8%","18.5%",0.21,0.263,0.295,0.337,0.632,0.074,4.3,0.314,NA,NA,-0.7,17,-6.3,0.284,73,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2006","Mariners (AAA)",60,203,233,48,31,12,2,3,27,22,24,1,51,3,2,1,4,7,5,0.236,"10.3%","21.9%",0.47,0.236,0.323,0.36,0.683,0.123,5.7,0.298,NA,NA,-0.8,24,-5.5,0.311,81,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2007","Indians (AA)",96,368,425,114,80,23,3,8,78,54,45,0,42,3,7,2,8,23,7,0.31,"10.6%","9.9%",1.07,0.31,0.383,0.454,0.837,0.144,6.9,0.326,NA,NA,1.6,68,15.3,0.377,129,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2007","Indians (AAA)",9,38,40,12,9,3,0,0,6,3,2,0,8,0,0,0,1,2,0,0.316,"5.0%","20.0%",0.25,0.316,0.35,0.395,0.745,0.079,6,0.4,NA,NA,0.4,5,0.3,0.339,106,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2007","Indians",45,159,186,45,31,9,2,3,30,22,17,0,29,2,3,5,7,0,0,0.283,"9.1%","15.6%",0.59,0.283,0.354,0.421,0.775,0.138,4.1,0.323,2.3,-0.5,-0.2,25,1.6,0.341,107,"26.0%","61.7%","45.1%","75.0%","90.2%","86.2%","53.5%",22.5,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2008","Indians (AAA)",34,141,152,46,34,7,1,4,25,13,7,1,25,4,0,0,1,2,2,0.326,"4.6%","16.4%",0.28,0.326,0.375,0.475,0.85,0.149,4.8,0.375,NA,NA,-0.6,24,6,0.377,133,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2008","Indians",114,352,418,91,65,20,0,6,48,47,46,2,77,4,5,11,8,4,4,0.259,"11.0%","18.4%",0.6,0.259,0.346,0.366,0.713,0.108,2.7,0.31,-2,1.2,-1.2,48,-2.8,0.32,94,"28.2%","61.4%","46.3%","70.3%","87.8%","82.9%","54.5%",21.9,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009","Indians (AA)",4,16,18,4,3,1,0,0,5,0,1,0,2,1,0,0,0,2,0,0.25,"5.6%","11.1%",0.5,0.25,0.333,0.313,0.646,0.063,7.5,0.286,NA,NA,0.4,2,-0.3,0.309,86,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2009","Indians",131,523,581,161,109,42,4,6,81,68,44,1,89,1,3,10,13,17,4,0.308,"7.6%","15.3%",0.49,0.308,0.361,0.438,0.799,0.13,5.9,0.36,1.7,0.2,1.3,80,10.7,0.351,112,"26.2%","62.7%","45.9%","76.5%","88.6%","85.4%","53.8%",20.5,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2010","Indians (A-)",2,6,7,2,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0.333,"14.3%","14.3%",1,0.333,0.429,0.5,0.929,0.167,0.1,0.4,NA,NA,0,1,0.6,0.43,168,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-07,4962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
