"","Season","Team","G.x","PA.x","HR.x","R.x","RBI.x","SB.x","BB%","K%","ISO","BABIP","AVG.x","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","G.y","AB","PA.y","H","1B","2B","3B","HR.y","R.y","RBI.y","BB","IBB","SO","HBP","SF","SH","GDP","SB.y","CS","AVG.y","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","date_acquired","player_id","G","PA","HR","R","RBI","SB","BB/K","OPS","Spd","UBR","wGDP","wSB","wRC","wRAA","Pace","W.x","L.x","SV.x","GS.x","IP.x","K/9","BB/9","HR/9","LOB%","GB%","HR/FB","ERA.x","FIP","xFIP","W.y","L.y","ERA.y","GS.y","CG","ShO","SV.y","HLD","BS","IP.y","TBF","ER","WP","BK"
"1","2014","Dodgers (R)",5,20,0,3,8,3,"0.0%","20.0%",0.05,0.5,0.4,0.4,0.45,0.386,123,NA,NA,NA,NA,5,20,20,8,7,1,0,0,3,8,0,0,4,0,0,0,0,3,0,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015","Dodgers (A)",101,444,5,50,42,13,"3.8%","11.9%",0.1,0.326,0.295,0.325,0.394,0.332,108,NA,NA,NA,NA,101,421,444,124,94,23,2,5,50,42,17,2,53,3,2,1,13,13,5,0.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015","Dodgers (A+)",23,96,4,20,19,1,"4.2%","12.5%",0.275,0.408,0.385,0.406,0.659,0.454,183,NA,NA,NA,NA,23,91,96,35,20,9,2,4,20,19,4,0,12,0,1,0,1,1,0,0.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016","Dodgers (AA)",126,529,13,58,63,2,"8.3%","12.7%",0.134,0.292,0.273,0.336,0.407,0.333,113,NA,NA,NA,NA,126,477,529,130,93,23,1,13,58,63,44,5,67,4,4,0,12,2,6,0.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2017","Dodgers (AAA)",117,495,6,67,62,9,"10.5%","10.1%",0.122,0.34,0.314,0.389,0.436,0.367,118,NA,NA,NA,NA,117,433,495,136,99,27,4,6,67,62,52,1,50,4,5,1,8,9,3,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2017","Dodgers",15,25,1,1,1,0,"8.0%","16.0%",0.13,0.167,0.174,0.24,0.304,0.24,46,-0.7,-2.5,-0.4,-0.2,15,23,25,4,3,0,0,1,1,1,2,0,4,0,0,0,1,0,1,0.174,"18.9%","56.3%","36.6%","100.0%","81.5%","86.5%","47.5%","52.0%","5.0%",2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2018","Dodgers (AAA)",91,379,10,44,44,8,"9.0%","12.4%",0.143,0.359,0.329,0.391,0.472,0.382,128,NA,NA,NA,NA,91,343,379,113,84,19,0,10,44,44,34,2,47,1,1,0,11,8,2,0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2018","Dodgers",37,86,1,11,4,0,"9.3%","16.3%",0.117,0.306,0.26,0.329,0.377,0.311,98,0.6,0.4,-1.6,0.2,37,77,86,20,13,6,0,1,11,4,8,0,14,0,0,1,4,0,0,0.26,"34.0%","67.3%","48.7%","74.2%","87.4%","82.2%","44.1%","61.6%","8.6%",2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019","Dodgers (R)",1,3,0,1,0,0,"66.7%","0.0%",0,0,0,0.667,0,0.49,195,NA,NA,NA,NA,1,1,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019","Dodgers",106,377,12,43,44,4,"6.9%","13.0%",0.181,0.309,0.294,0.342,0.475,0.341,114,0.6,7.4,2.8,2.2,106,343,377,101,65,22,2,12,43,44,26,1,49,2,6,0,8,4,1,0.294,"31.1%","62.2%","44.6%","72.1%","93.7%","85.2%","43.5%","59.2%","6.6%",2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020","Red Sox",53,221,6,36,15,4,"7.7%","20.4%",0.169,0.371,0.308,0.367,0.478,0.362,126,1.1,8.3,2.3,1.6,53,201,221,62,40,16,0,6,36,15,17,1,45,2,1,0,4,4,0,0.308,"29.0%","61.0%","42.7%","71.2%","91.3%","83.5%","42.8%","52.9%","7.0%",2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021","THE BAT X",138,590,16,75,66,6,"8.3%","17.3%",0.165,0.314,0.276,0.34,0.441,0.335,108,NA,NA,NA,NA,138,533,590,147,94,35,2,16,75,66,49,3,102,4,4,1,13,6,2,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021","THE BAT",138,591,15,75,65,6,"8.2%","17.2%",0.16,0.313,0.275,0.338,0.435,0.333,106,NA,NA,NA,NA,138,534,591,147,94,35,2,15,75,65,49,3,102,4,4,1,14,6,2,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021","ATC",146,602,17,84,63,9,"7.9%","16.7%",0.166,0.326,0.288,0.348,0.454,0.345,114,NA,NA,NA,NA,146,544,602,157,102,37,2,17,84,63,47,1,100,4,4,2,14,9,2,0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021","Depth Charts",138,595,16,78,63,8,"8.3%","16.2%",0.164,0.323,0.288,0.35,0.452,0.339,107,0.5,5.9,1.2,2.7,138,536,595,154,100,36,2,16,78,63,49,2,97,4,4,2,NA,8,3,0.288,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021","Steamer",138,588,16,77,69,7,"8.5%","16.2%",0.168,0.318,0.284,0.349,0.452,0.339,107,0.4,5.6,-0.2,2.5,138,525,588,149,96,35,2,16,77,69,50,2,95,5,4,4,NA,7,3,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021","ZiPS",140,534,14,69,51,8,"8.1%","16.3%",0.161,0.328,0.291,0.35,0.452,0.339,107,0.4,5.3,-2.6,2.1,140,484,534,141,93,32,2,14,69,51,43,2,87,3,4,0,13,8,2,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021","Red Sox",56,231,8,36,26,4,"7.8%","12.1%",0.177,0.303,0.292,0.351,0.469,0.353,124,1.4,7.9,-3.2,1.3,56,209,231,61,41,11,1,8,36,26,18,1,28,2,2,0,3,4,0,0.292,"30.4%","66.2%","45.8%","76.9%","92.6%","86.7%","43.1%","55.8%","6.1%",2021-06-08,17027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
